epoch,train_acc_ternary,train_acc_rel,train_acc_norel,train_acc_ternary,test_acc_rel,test_acc_norel
1,51.555355976485956,50.55825440888308,52.975996080992815,54.13306451612903,61.29032258064516,55.69556451612903
2,53.33830013063357,66.2342831482691,55.337606139777925,52.368951612903224,72.88306451612904,56.703629032258064
3,53.53833278902678,69.31539843239713,56.32654310907903,51.965725806451616,72.22782258064517,58.71975806451613
4,53.70672762900065,69.78996570868713,58.261552906597,52.167338709677416,73.38709677419355,61.44153225806452
5,53.97615937295885,70.14104343566297,60.37924559111692,52.318548387096776,72.53024193548387,63.457661290322584
6,54.60687459177009,70.68807152188113,61.68456074461137,53.024193548387096,71.52217741935483,64.21370967741936
7,55.12634715871979,70.62377531025473,62.19382756368387,52.671370967741936,72.58064516129032,63.608870967741936
8,55.39782005225343,71.11058948399739,62.6500244937949,53.931451612903224,74.24395161290323,63.76008064516129
9,55.49477465708687,71.87704114957545,63.30013063357283,54.48588709677419,74.04233870967742,66.22983870967742
10,55.601935009797515,72.61491672109732,66.2832707380797,53.42741935483871,74.49596774193549,71.27016129032258
11,55.741753755715216,73.1078543435663,77.11258981058133,53.78024193548387,74.44556451612904,86.18951612903226
12,55.741753755715216,73.47015839320706,93.81633736120183,54.435483870967744,76.00806451612904,98.03427419354838
13,55.940765839320704,76.68394839973874,98.29564010450686,54.939516129032256,80.54435483870968,98.5383064516129
14,56.174477465708684,82.49101894186806,99.06107119529719,53.881048387096776,84.77822580645162,97.88306451612904
15,56.41125081645983,84.75771554539517,99.32744121489223,55.39314516129032,85.38306451612904,98.7399193548387
16,56.56841933376878,86.46513716525146,99.5009389288047,55.292338709677416,85.6350806451613,98.94153225806451
17,56.68068256041803,87.47448563030699,99.63463422599608,56.30040322580645,87.3991935483871,98.99193548387096
18,57.09911822338341,88.2388961463096,99.67851894186806,55.645161290322584,87.3991935483871,99.14314516129032
19,57.25730731548008,88.99208033964729,99.7305682560418,56.149193548387096,88.20564516129032,99.19354838709677
20,57.507348138471585,89.61258981058133,99.7601649248857,56.09879032258065,88.10483870967742,98.89112903225806
